Sector,Contribution,Industry,Employment,Personal Income,Output
Defense,Direct,"Employment and payroll of federal govt, military",12622.21764,1175632253,1551383790
Living Resources,Direct,Vegetable and melon farming,2679.832118,58959574.69,312345224.4
Living Resources,Direct,Fruit farming,3955.510514,63302188.98,304949316.8
Living Resources,Direct,Canned fruits and vegetables manufacturing,898.5643555,89962955.1,552712381.8
Living Resources,Direct,"Greenhouse, nursery, and floriculture production",2246.793899,69398154.11,208011670.2
Living Resources,Direct,Grain farming,1.970029293,45617.21522,434177.8195
Living Resources,Direct,Tree nut farming,1.681117208,40237.0816,138834.6425
Living Resources,Direct,All other crop farming,542.7600489,3208304.703,5647089.6
Living Resources,Direct,Beef cattle ranching and farming,215.8343443,629728.6327,35763604.93
Living Resources,Direct,Dairy cattle and milk production,67.31347521,1508584.444,35628124.73
Living Resources,Direct,Poultry and egg production,33.46503391,1504247.237,11173853.25
Living Resources,Direct,"Animal production, except cattle and poultry and eggs",231.3214466,3663098.373,33895529.72
Living Resources,Direct,"Forestry, forest products, and timber tract production",94.9818366,5702829.706,9113351.442
Living Resources,Direct,Commercial logging,94.51650678,5597009.801,10857494.44
Living Resources,Direct,Commercial fishing,234.2970015,2817375.979,44943156.09
Living Resources,Direct,Commercial hunting and trapping,12.31292172,354596.5361,8373601.266
Living Resources,Direct,Support activities for agriculture and forestry,7218.783104,167486381.5,239700844.1
Living Resources,Direct,Seafood product preparation and packaging,688.735779,31933230.77,285102868.4
Marine Construction,Direct,Construction of other new nonresidential structures,8434.643452,396285657.1,1378588606
Marine Construction,Direct,Maintenance and repair of nonresidential structures,8587.10415,402079265.4,2072080377
Marine Construction,Direct,"Maintenance and repair of roads, bridges, and tunnels",1503.12152,72782003.16,367307627.9
Marine Construction,Direct,"Architectural, engineering, and related services",20955.30306,1649894438,3611892028
Marine Construction,Direct,Landscape and horticultural services,13649.66148,454063602.3,1142736400
Marine Transportation,Direct,Water transportation,524.4441362,31177638,357356513.5
Marine Transportation,Direct,Pipeline transportation,206.0722275,20471455.27,84248046.63
Marine Transportation,Direct,Scenic and sightseeing transportation,9229.243022,444183187.8,1396605542
Mineral Extraction,Direct,Fertilizer mixing,226.6265905,28345600.57,171153766.4
Mineral Extraction,Direct,Stone mining and quarrying,150.0699282,3533574.657,55062706.81
Mineral Extraction,Direct,Sand and gravel mining,129.300088,9691383.784,49753143.78
Mineral Extraction,Direct,Uranium-radium-vanadium ore mining,45.83146536,3194750.84,24406196.52
Mineral Extraction,Direct,Other nonmetallic minerals,15.58147826,1180924.242,6401103.881
Mineral Extraction,Direct,Support activities for oil and gas operations,190.0922121,2710709.237,28689040.54
Mineral Extraction,Direct,Phosphatic fertilizer manufacturing,1807.713527,247319784.9,2043892757
Research,Direct,Environmental and other technical consulting services,5381.569599,371375477,697218345.1
Ship and Boat Building,Direct,Ship building and repairing,846.5849815,64270089.5,223116087.2
Ship and Boat Building,Direct,Boat building,1355.867267,88661447.28,415856136
Tourism and Recreation,Direct,"Museums, historical sites, zoos, and parks",1083.618352,46268194.55,94859985.87
Tourism and Recreation,Direct,Amusement parks and arcades,2639.455062,49209231.2,143970645.1
Tourism and Recreation,Direct,Other amusement and recreation industries,7342.828149,212779009.5,407719696.9
Tourism and Recreation,Direct,"Hotels and motels, including casino hotels",9396.307203,327612966.2,1124949067
Tourism and Recreation,Direct,Full-service restaurants,17278.23985,490309488.4,1255812830
